Version	Since	Object	Element	Order	Occurrence	Group	Type
2.5.0	1.1.0	AccessInformation	RepositoryID	1	1		
2.5.0	1.1.0	AccessInformation	Availability	2	0		
2.5.0	1.1.0	AccessInformation	AccessRights	3	0		
2.5.0	1.1.0	AccessInformation	AccessURL	4	+		
2.5.0	1.1.0	AccessInformation	Format	5	+		
2.5.0	1.1.0	AccessInformation	Encoding	6	0		
2.5.0	1.2.0	AccessInformation	DataExtent	7	0		
2.5.0	1.1.0	AccessInformation	Acknowledgement	8	0		
2.5.0	1.1.0	AccessURL	Name	1	0		
2.5.0	1.1.0	AccessURL	URL	2	1		
2.5.0	2.3.0	AccessURL	Style	3	0		
2.5.0	2.2.2	AccessURL	ProductKey	4	*		
2.5.0	1.1.0	AccessURL	Description	5	0		
2.5.0	1.3.0	AccessURL	Language	6	0		
2.5.0	1.3.4	Annotation	ResourceID	1	1		
2.5.0	1.3.4	Annotation	ResourceHeader	2	1		
2.5.0	1.3.4	Annotation	ImageURL	3	0		
2.5.0	1.3.4	Annotation	AnnotationType	4	1		
2.5.0	1.3.4	Annotation	PhenomenonType	5	*		
2.5.0	1.3.4	Annotation	ClassificationMethod	6	0		
2.5.0	1.3.4	Annotation	ConfidenceRating	7	0		
2.5.0	1.3.4	Annotation	TimeSpan	8	*		
2.5.0	1.3.4	Annotation	ObservationExtent	9	*		
2.5.0	1.3.4	Annotation	Extension	10	*		
2.5.0	1.3.3	Association	AssociationID	1	1		
2.5.0	1.3.3	Association	AssociationType	2	1		
2.5.0	1.3.3	Association	Note	3	0		
2.5.0	1.1.0	AzimuthalAngleRange	Low	1	1		
2.5.0	1.1.0	AzimuthalAngleRange	High	2	1		
2.5.0	1.1.0	AzimuthalAngleRange	Units	3	1		
2.5.0	1.1.0	AzimuthalAngleRange	Bin	4	*		
2.5.0	1.3.0	Bin	BandName	1	0		
2.5.0	1.1.0	Bin	Low	2	1		
2.5.0	1.1.0	Bin	High	3	1		
2.5.0	1.1.0	Catalog	ResourceID	1	1		
2.5.0	1.1.0	Catalog	ResourceHeader	2	1		
2.5.0	1.1.0	Catalog	AccessInformation	3	+		
2.5.0	2.2.9	Catalog	ProviderName	4	0		
2.5.0	1.1.0	Catalog	ProviderResourceName	5	0		
2.5.0	1.1.0	Catalog	ProviderVersion	6	0		
2.5.0	1.1.0	Catalog	InstrumentID	7	*		
2.5.0	1.1.0	Catalog	PhenomenonType	8	+		
2.5.0	1.1.0	Catalog	TimeSpan	9	0		
2.5.0	1.1.0	Catalog	Caveats	10	0		
2.5.0	1.1.0	Catalog	Keyword	11	*		
2.5.0	1.1.0	Catalog	InputResourceID	12	*		
2.5.0	1.3.0	Catalog	Parameter	13	*		
2.5.0	1.3.0	Catalog	Extension	14	*		
2.5.0	1.2.0	Checksum	HashValue	1	1		
2.5.0	1.2.0	Checksum	HashFunction	2	1		
2.5.0	2.5.0	Collection	ResourceID	1	1		
2.5.0	2.5.0	Collection	ResourceHeader	2	1		
2.5.0	2.5.0	Collection	AccessInformation	3	+		
2.5.0	2.5.0	Collection	Member	4	+		
2.5.0	2.5.0	Collection	Extension	5	*		
2.5.0	1.1.0	Contact	PersonID	1	1		
2.5.0	1.1.0	Contact	Role	2	+		
2.5.0	2.3.1	Contact	StartDate	3	0		
2.5.0	2.3.1	Contact	StopDate	4	0		
2.5.0	2.3.1	Contact	Note	5	0		
2.5.0	1.1.0	CoordinateSystem	CoordinateRepresentation	1	1		
2.5.0	1.1.0	CoordinateSystem	CoordinateSystemName	2	1		
2.5.0	1.3.0	DataExtent	Quantity	1	1		
2.5.0	1.2.0	DataExtent	Units	2	0		
2.5.0	1.2.0	DataExtent	Per	3	0		
2.5.0	1.1.0	DisplayData	ResourceID	1	1		
2.5.0	1.1.0	DisplayData	ResourceHeader	2	1		
2.5.0	1.1.0	DisplayData	AccessInformation	3	+		
2.5.0	1.1.0	DisplayData	ProcessingLevel	4	0		
2.5.0	2.2.9	DisplayData	ProviderName	5	0		
2.5.0	1.1.0	DisplayData	ProviderResourceName	6	0		
2.5.0	1.1.0	DisplayData	ProviderProcessingLevel	7	0		
2.5.0	1.1.0	DisplayData	ProviderVersion	8	0		
2.5.0	1.1.0	DisplayData	InstrumentID	9	*		
2.5.0	1.1.0	DisplayData	MeasurementType	10	+		
2.5.0	1.1.0	DisplayData	TemporalDescription	11	0		
2.5.0	1.1.0	DisplayData	SpectralRange	12	*		
2.5.0	1.1.0	DisplayData	DisplayCadence	13	0		
2.5.0	1.1.0	DisplayData	ObservedRegion	14	*		
2.5.0	2.4.2	DisplayData	SpatialCoverage	15	+		
2.5.0	1.1.0	DisplayData	Caveats	16	0		
2.5.0	1.1.0	DisplayData	Keyword	17	*		
2.5.0	1.1.0	DisplayData	InputResourceID	18	*		
2.5.0	1.3.0	DisplayData	Parameter	19	*		
2.5.0	1.3.0	DisplayData	Extension	20	*		
2.5.0	1.3.0	Document	ResourceID	1	1		
2.5.0	1.3.0	Document	ResourceHeader	2	1		
2.5.0	1.3.0	Document	AccessInformation	3	+		
2.5.0	1.3.0	Document	Keyword	4	*		
2.5.0	1.3.0	Document	DocumentType	5	1		
2.5.0	1.3.0	Document	MIMEType	6	1		
2.5.0	1.3.0	Document	InputResourceID	7	*		
2.5.0	1.2.0	Element	Name	1	1		
2.5.0	1.2.0	Element	Qualifier	2	*		
2.5.0	1.2.0	Element	Index	3	1		
2.5.0	1.2.0	Element	ParameterKey	4	0		
2.5.0	1.3.0	Element	Units	5	0		
2.5.0	1.3.0	Element	UnitsConversion	6	0		
2.5.0	1.3.0	Element	ValidMin	7	0		
2.5.0	1.3.0	Element	ValidMax	8	0		
2.5.0	1.3.0	Element	FillValue	9	0		
2.5.0	1.3.0	Element	RenderingHints	10	0		
